"Code_display","Crop_code","Common_name","Latin_name","Major use","Other uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","","","","","","","","","","","","",""
"CRID","ACK","Artichoke","Cynara scolymus ","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","ALD","Almond","Prunus dulcis","Nut","","","","","","","","","","","","","","","","","",""
"CRID","ALF","Alfalfa/Lucerne","Medicago sativa","Forage","","Lucerne","AL","Lucerne","","","","","","","","","","","","","",""
"CRID","AMR","Amaranth","Amaranthus spp.","Pseudocereal","Vegetable"," A. caudatus, A. cruentus, and A.hypochondriacus","","","","","","","","","","","","","","","",""
"CRID","APL","Apple","Malus domestica","Fruit","","","AM","Apple","","","","","","","","","","","","","",""
"CRID","APR","Apricot","Prunus armeniaca","Fruit","","","AP","Apricot","","","","","","","","","","","","","",""
"CRID","ASP","Asparagus","Asparagus officinalis","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","AVC","Avocado","Persea americana","Fruit","","","","","","","","","","","","","","","","","",""
"CRID","BAR","Barley","Hordeum vulgare","Cereal","Fodder","","BA","Barley","Barley","","","","","","","","","","","","",""
"CRID","BBR","Blueberry","Vaccinium spp.","Fruit","","","","","","","","","","","","","","","","","",""
"CRID","BGR","Bitter gourd","Momordica charantia","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","BHG","Bahia grass","Paspalum spp.","Forage","","","BH","Bahia","","","","","","","","","","","","","",""
"CRID","BLW","Broad leaf weeds","(various)","NA","","","BW","Weed","","","","","","","","","","","","","",""
"CRID","BMD","Bermudagrass","Cynodon dactylon","Forage","","","BM","","","","","","","","","","","","","","",""
"CRID","BMG","Bambara groundnut","Vigna subterranea","Pulse","","","BG","","","","","","","","","","","","","","",""
"CRID","BND","Dry bean","Phaseolus vulgaris","Pulse","","Dry or shell bean","BN","Drybean","Bean common (dry)","","","","","","","","","","","","",""
"CRID","BNG","Green bean","Phaseolus vulgaris","Vegetable","","Snap bean (low fibre pods)","GB","Greenbean","","","","","","","","","","","","","",""
"CRID","BNN","Banana","Musa paradisiaca","Fruit","","","NN","Banana","Banana","","","","","","","","","","","","",""
"CRID","BRC","Brachiaria","Brachiaria spp.","Forage","","Check which species","BR","Brachiaria","","","","","","","","","","","","","",""
"CRID","BWH","Buckwheat","Fagopyrum esculentum","Pseudocereal","","","BK","Buckwheat","","","","","","","","","","","","","",""
"CRID","CAM","Camelina","Camelina sativa","Oil seed","","","CM","Camelina","","","","","","","","","","","","","",""
"CRID","CAR","Carrot","Daucus carota","Vegetable","","","C1","Carrot","","","","","","","","","","","","","",""
"CRID","CBG","Cabbage","Brassica oleraceae","Vegetable","","","CB","Cabbage","","","","","","","","","","","","","",""
"CRID","CCB","Chinese cabbage","Brassica rapa","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","CCN","Coconut","Cocos nucifera","Oil seed","","","CC","Coconut","","","","","","","","","","","","","",""
"CRID","CFE","Coffee","Coffea spp.","Beverage","","C. arabica, C. rustica","CF","Coffee","","","","","","","","","","","","","",""
"CRID","CGR","Concord grape","Vitis labrusca","Fruit","","Concord grape","CG","Concordgrape","","","","","","","","","","","","","",""
"CRID","CHN","Chestnut","Castanea spp.","Nut","","","","","","","","","","","","","","","","","",""
"CRID","CHI","Chia","Salvia hispanica","Pseudocereal","","","CI","Chia","","","","","","","","","","","","","",""
"CRID","CHP","Chickpea","Cicer arietenum","Pulse","","Garbanzo","CH","Chickpea","","","","","","","","","","","","","",""
"CRID","CHR","Cherry","Prunus spp.","Fruit","","Many species","CY","Cherry","","","","","","","","","","","","","",""
"CRID","CIT","Citrus","Citrus spp.","Fruit","","","CT","Citrus","","","","","","","","","","","","","",""
"CRID","CLV","Clover","Trifolium spp.","Fiber","","","CV","Clover","","","","","","","","","","","","","",""
"CRID","CNL","Canola","Brassica spp.","Oil seed","","B. rapa, B. juncea, B. napus","CN","Canola","","","","","","","","","","","","","",""
"CRID","COC","Cocoa","Theobroma cacao","Fruit, Beverage","","","","","","","","","","","","","","","","","",""
"CRID","COT","Cotton","Gossypium spp.","Fiber","","G. hirsutum, G barbadense","CO","Cotton","","","","","","","","","","","","","",""
"CRID","CRB","Carob","Ceratonia siliqua","Fruit","","","","","","","","","","","","","","","","","",""
"CRID","CRB","Cranberry","Vaccinium macrocarpon","Fruit","","","","","","","","","","","","","","","","","",""
"CRID","CRM","Crambe","Crambe abyssinica","Oil seed","","","CR","Crambe","","","","","","","","","","","","","",""
"CRID","CST","Castor bean","Ricinus castorum","Oil seed","","","C2","Castorbean","","","","","","","","","","","","","",""
"CRID","CSV","Cassava","Manihot esculenta","Root crop","","","CS","Cassava","Cassava","","","","","","","","","","","","",""
"CRID","CSW","Cashew","Anacardium occidentale","Nut","","","","","","","","","","","","","","","","","",""
"CRID","CUC","Cucumber","Cucumis sativus","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","CWP","Cowpea","Vigna unguiculata","Pulse","","","CP","Cowpea","Cowpea","","","","","","","","","","","","",""
"CRID","DAT","Dates","Phoenix dactylifera","Fruit","","","","","","","","","","","","","","","","","",""
"CRID","EGP","Eggplant","Solanum melongena","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","ETM","Ethiopian mustard","Brassica carinata","Bioenergy","","","","","","","","","","","","","","","","","",""
"CRID","FAL","Fallow","(not applicable)","NA","","","FA","Fallow","","","","","","","","","","","","","",""
"CRID","FBN","Faba bean","Vicia faba","Pulse","","","FB","Fababean","","","","","","","","","","","","","",""
"CRID","FIG","Fig","Ficus carica","Fruit","","","FG","Fig","","","","","","","","","","","","","",""
"CRID","FLX","Flax","Linum usitatissimum","Fiber","","","","","","","","","","","","","","","","","",""
"CRID","FML","Finger millet","Eleusine coracana","Cereal","","","","","","","","","","","","","","","","","",""
"CRID","FRG","Forage (generic)","","Forage","","Unidentified forage crop","","","","","","","","","","","","","","","",""
"CRID","FSR","Red fescue","Festuca rubra","Turf","Ornamental","Creeping red fescue","FR","","","","","","","","","","","","","","",""
"CRID","FXM","Foxtail millet","Setaria italica","Cereal","","","FM","Foxtailmillet","","","","","","","","","","","","","",""
"CRID","GRV","Grass vegetations","(various)","NA","","","GR","Grassvegetations","","","","","","","","","","","","","",""
"CRID","GRW","Grass weeds","(various)","NA","","","GW","Weed","","","","","","","","","","","","","",""
"CRID","GUA","Guayule","Parthenium argentatum","Latex","","","GY","Guayule","","","","","","","","","","","","","",""
"CRID","GUR","Guar","Cyamopsis tetragonoloba","Specialty","","Cluster bean","GU","","","","","","","","","","","","","","",""
"CRID","GGR","Guinea grass","Megathyrsus maximus","Forage","","","GG","","","","","","","","","","","","","","",""
"CRID","HMP","Hemp","Cannabis sativa","Fiber","Pharmaceutical","","HM","","","","","","","","","","","","","","",""
"CRID","HOP","Hops","Humulus lupulus","Specialty","","For brewing","HO","Hops","","","","","","","","","","","","","",""
"CRID","HSP","Hesperaloe","Hesperaloe spp.","Fiber, Bioenergy","","""false yucca"", fiber and biomass new crop","","","","","","","","","","","","","","","",""
"CRID","HZN","Hazelnut","Corylus avellana","Nut","","","","","","","","","","","","","","","","","",""
"CRID","HVT","Hairy vetch","Vicia villosa Roth","Green manure","Forage","","HV","","","","","","","","","","","","","","",""
"CRID","JAT","Jatropha","Jatropha curcas","Bioenergy","","","","","","","","","","","","","","","","","",""
"CRID","JBN","Jack bean","Canavalia ensiformis","Pulse","","","JB","Jackbean","","","","","","","","","","","","","",""
"CRID","JUT","Jute","Corchorus spp.","Fiber","","","JT","Jute","","","","","","","","","","","","","",""
"CRID","JUT","Jute","Hibiscus cannabinus","Fiber","","","","","","","","","","","","","","","","","",""
"CRID","LAB","Lablab","Dolichus lablab","Pulse","","","","","","","","","","","","","","","","","",""
"CRID","LBN","Lima bean","Phaseolus lunatus","Pulse","","","LB","Limabean","Lima bean","","","","","","","","","","","","",""
"CRID","LEN","Lentil","Lens culinarus","Pulse","","","LT","Lentil","","","","","","","","","","","","","",""
"CRID","LET","Lettuce","Lactuca spp.","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","MAZ","Maize","Zea mays","Cereal","","","MZ","Maize","Maize","","","","","","","","","","","","",""
"CRID","MCN","Macadamia nut","Macadamia spp.","Nut","","","","","","","","","","","","","","","","","",""
"CRID","MNG","Mung bean","Vigna radiata","Pulse","","Green gram","MU","","","","","","","","","","","","","","",""
"CRID","NPG","Napier grass","Pennisetum_purpureum","Forage, Bioenergy","","Elephant grass","NP","Napiergrass","","","","","","","","","","","","","",""
"CRID","OAT","Oats","Avena sativa","Cereal, Forage","","","OA","Oats","","","","","","","","","","","","","",""
"CRID","OKR","Okra","Abelmoschus esculentus","Vegetable","","","","","","","","","","","","","","","","","",""
"CRID","OLP","Oil palm","Elaeis spp.","Oil seed","","E. guineensis & others","OP","Oilpalm","","","","","","","","","","","","","",""
"CRID","OLV","Olives","Olea europeae","Oil seed","","","","","","","","","","","","","","","","","",""
"CRID","ONI","Onion","Allium cepa","Vegetable","","","ON","Onion","","","","","","","","","","","","","",""
