"Group/Topic","Code_Display","Code","Description","Usage","Comment","ICASA_standard","MONDAT","Aquacrop"
"Chemicals","CHCD","CH001","Alachlor (Lasso), Metolachlor (Dual) [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH002","Propanil [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH003","Trifluralin [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH004","Dalapon [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH005","MCPA [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH006","2,4-D [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH007","2,4,5-T [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH008","Pendimethalin [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH009","Atrazine [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH010","Diquat [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH011","Paraquat [Herbicide]","Herbicide","","1","",""
"Chemicals","CHCD","CH021","Carbaryl, Sevin, Septene [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH022","Malathion, Mercaptothion [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH023","Naled [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH024","Dimethoate [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH025","Fention [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH026","Diazinon, Basudin [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH027","Ethion, Diethion [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH028","Oxydemeton-Methyl [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH029","Azinphos-Methyl [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH030","Phosphamidon [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH031","Mevinphosl [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH032","Methyl Parathion [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH033","Parathion [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH034","DDT [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH035","BHC, HCH [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH036","Chlordane [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH037","Heptachlor [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH038","Toxaphene [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH039","Aldrin [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH040","Dieldrin [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH041","Endrin, Nendrin [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH042","Methomyl, Lannat [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH043","Thiotex [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH044","Furadan [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH045","Endosulfan [Insecticide]","Insecticide","","1","",""
"Chemicals","CHCD","CH051","Captan [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH052","Benomyl [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH053","Zineb [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH054","Maneb [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH055","Mancozeb [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH056","Tilt [Fungicide]","Fungicide","","1","",""
"Chemicals","CHCD","CH057","Rhizobium (for legume crops)","Innoculant","","1","",""
"Chemicals","CHCD","CH100","Mepiquat chloride, Pix [Growth regulator]","Growth regulator","","1","",""
"","","","","","","1","",""
"Drainage management","FL_DRNTYPE","DR000","No drainage","","","1","",""
"Drainage management","FL_DRNTYPE","DR001","Ditches","","","1","",""
"Drainage management","FL_DRNTYPE","DR002","Sub-surface tiles","","","1","",""
"Drainage management","FL_DRNTYPE","DR003","Surface furrows","","","1","",""
"","","","","","","1","",""
"Environmental modifications","EC???","A","Add","","","1","",""
"Environmental modifications","EC???","S","Subtract","","","1","",""
"Environmental modifications","EC???","M","Multiply","","","1","",""
"Environmental modifications","EC???","R","Replace","","","1","",""
"","","","","","","1","",""
"Fertilizers","FECD, FE_CD","FE001","Ammonium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE002","Ammonium sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE003","Ammonium nitrate sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE004","Anhydrous ammonia","","","1","",""
"Fertilizers","FECD, FE_CD","FE005","Urea","","","1","",""
"Fertilizers","FECD, FE_CD","FE006","Diammnoium phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE007","Monoammonium phosphate","","16-20-0","1","",""
"Fertilizers","FECD, FE_CD","FE008","Calcium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE009","Aqua ammonia","","","1","",""
"Fertilizers","FECD, FE_CD","FE010","Urea ammonium nitrate solution","","","1","",""
"Fertilizers","FECD, FE_CD","FE011","Calcium ammonium nitrate solution","","","1","",""
"Fertilizers","FECD, FE_CD","FE012","Ammonium polyphosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE013","Single super phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE014","Triple super phosphate","","0-45-0","1","",""
"Fertilizers","FECD, FE_CD","FE015","Liquid phosphoric acid","","0-54-0","1","",""
"Fertilizers","FECD, FE_CD","FE016","Potassium chloride","","","1","",""
"Fertilizers","FECD, FE_CD","FE017","Potassium nitrate","","","1","",""
"Fertilizers","FECD, FE_CD","FE018","Potassium sulfate","","","1","",""
"Fertilizers","FECD, FE_CD","FE019","Urea super granules","","","1","",""
"Fertilizers","FECD, FE_CD","FE020","Dolomitic limestone","","","1","",""
"Fertilizers","FECD, FE_CD","FE021","Rock phosphate","","","1","",""
"Fertilizers","FECD, FE_CD","FE022","Calcitic limestone","","","1","",""
"Fertilizers","FECD, FE_CD","FE024","Rhizobium","","","1","",""
