"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","Sub-group","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP-rating","DSSAT-rating","APSIM-rating","CropSyst","","","","","","","","","",""
"id","","OID","3","OID","0","1","id","","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"observ_treat_ID","15","TREAT_ID","8","TREAT_ID","1","","Treatment id for observed data, unique internal ID","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"treatment_number","16","TRTNO","5","TRTNO","2","","Treatment number","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","",".","TN","","","","1","-2","","","","","","","","","","","","","",""
"replicate_number","16","RP","2","RP","3","","Replicate number","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","",".",".","","","","1","-2","","","","","","","","","","","","","",""
"sequence_number","15","SQ","2","SQ","4","","Sequence number","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","",".","R","","","","1","-2","","","","","","","","","","","","","",""
"option_for_crop_in_seq","22","OP","2","OP","5","","Option for crop in sequence","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","",".","O","","","","1","-2","","","","","","","","","","","","","",""
"crop_component_number","21","CO","2","CO","6","","Crop component number","number","single","","EXPERIMENT","MEASURED_DATA","OBSERV_DATA_LINKS","","2501","0","",".","C","","","","1","-2","","","","","","","","","","","","","",""
"OID","3","OID","","OID","0","1","","","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"treatment_lev_ID","16","OBS_TRT_ID","10","OBS_TRT_ID","1","","Treatment id for observed data, unique internal ID","number","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","0","","","","","","","1","-2","","","","","","","","","","","","","",""
"maturity_day_of_year","20","MDOY","4","MDOY","3","","Growth stage of physiol. maturity, as day of year","doy","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","1","366","","1","-1","","","","","","","","","","","","","",""
"anthesis_date","13","ADAT","4","ADAT","11","","Growth stage date, anthesis","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Anthesis date",".","1","99,365","","1","","","","","","","","","","","","","","",""
"anthesis_day_of_year","20","ADOY","4","ADOY","12","","Anthesis date as day of year","doy","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","","","1","366","","1","-1","","","","","","","","","","","","","",""
"anthesis_dap","12","ADAP","4","ADAP","13","","Growth stage as days after planting, anthesis","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Anthesis day",".","10","700","","1","","","","","","","","","","","","","","",""
"physiologic_maturity_dap","24","MDAP","4","MDAP","39","","Growth stage of physiol. maturity, as days after planting","dap","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Maturity day",".","10","","","1","","","","","","","","","","","","","","",""
"physiologic_maturity_dat","24","MDAT","4","MDAT","39","","Growth stage of physiol. maturity, as date","date","single","","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT","2502","1","","Maturity date",".","1","99,365","","1","","","","","","","","","","","","","","",""
