@,Code_Display,Code,Description
,CHCD,CH001,"Alachlor (Lasso), Metolachlor (Dual) [Herbicide]"
,CHCD,CH002,Propanil [Herbicide]
,CHCD,CH003,Trifluralin [Herbicide]
,CHCD,CH004,Dalapon [Herbicide]
,CHCD,CH005,MCPA [Herbicide]
,CHCD,CH006,"2,4-D [Herbicide]"
,CHCD,CH007,"2,4,5-T [Herbicide]"
,CHCD,CH008,Pendimethalin [Herbicide]
,CHCD,CH009,Atrazine [Herbicide]
,CHCD,CH010,Diquat [Herbicide]
,CHCD,CH011,Paraquat [Herbicide]
,CHCD,CH021,"Carbaryl, Sevin, Septene [Insecticide]"
,CHCD,CH022,"Malathion, Mercaptothion [Insecticide]"
,CHCD,CH023,Naled [Insecticide]
,CHCD,CH024,Dimethoate [Insecticide]
,CHCD,CH025,Fention [Insecticide]
,CHCD,CH026,"Diazinon, Basudin [Insecticide]"
,CHCD,CH027,"Ethion, Diethion [Insecticide]"
,CHCD,CH028,Oxydemeton-Methyl [Insecticide]
,CHCD,CH029,Azinphos-Methyl [Insecticide]
,CHCD,CH030,Phosphamidon [Insecticide]
,CHCD,CH031,Mevinphosl [Insecticide]
,CHCD,CH032,Methyl Parathion [Insecticide]
,CHCD,CH033,Parathion [Insecticide]
,CHCD,CH034,DDT [Insecticide]
,CHCD,CH035,"BHC, HCH [Insecticide]"
,CHCD,CH036,Chlordane [Insecticide]
,CHCD,CH037,Heptachlor [Insecticide]
,CHCD,CH038,Toxaphene [Insecticide]
,CHCD,CH039,Aldrin [Insecticide]
,CHCD,CH040,Dieldrin [Insecticide]
,CHCD,CH041,"Endrin, Nendrin [Insecticide]"
,CHCD,CH042,"Methomyl, Lannat [Insecticide]"
,CHCD,CH043,Thiotex [Insecticide]
,CHCD,CH044,Furadan [Insecticide]
,CHCD,CH045,Endosulfan [Insecticide]
,CHCD,CH051,Captan [Fungicide]
,CHCD,CH052,Benomyl [Fungicide]
,CHCD,CH053,Zineb [Fungicide]
,CHCD,CH054,Maneb [Fungicide]
,CHCD,CH055,Mancozeb [Fungicide]
,CHCD,CH056,Tilt [Fungicide]
,CHCD,CH057,Rhizobium (for legume crops)
,CHCD,CH100,"Mepiquat chloride, Pix [Growth regulator]"
,,,
,FL_DRNTYPE,DR000,No drainage
,FL_DRNTYPE,DR001,Ditches
,FL_DRNTYPE,DR002,Sub-surface tiles
,FL_DRNTYPE,DR003,Surface furrows
,,,
!,"ECDYL, ECRAD, ECMAX, ECMIN, ECRAI, ECCO2, ECDEW, ECWND",A,Add
!,"ECDYL, ECRAD, ECMAX, ECMIN, ECRAI, ECCO2, ECDEW, ECWND",S,Subtract
!,"ECDYL, ECRAD, ECMAX, ECMIN, ECRAI, ECCO2, ECDEW, ECWND",M,Multiply
!,"ECDYL, ECRAD, ECMAX, ECMIN, ECRAI, ECCO2, ECDEW, ECWND",R,Replace
,,,
,FECD,FE001,Ammonium nitrate
,FECD,FE002,Ammonium sulfate
,FECD,FE003,Ammonium nitrate sulfate
,FECD,FE004,Anhydrous ammonia
,FECD,FE005,Urea
,FECD,FE006,Diammnoium phosphate
,FECD,FE007,Monoammonium phosphate
,FECD,FE008,Calcium nitrate
,FECD,FE009,Aqua ammonia
,FECD,FE010,Urea ammonium nitrate solution
,FECD,FE011,Calcium ammonium nitrate solution
,FECD,FE012,Ammonium polyphosphate
,FECD,FE013,Single super phosphate
,FECD,FE014,Triple super phosphate
,FECD,FE015,Liquid phosphoric acid
,FECD,FE016,Potassium chloride
,FECD,FE017,Potassium nitrate
,FECD,FE018,Potassium sulfate
,FECD,FE019,Urea super granules
,FECD,FE020,Dolomitic limestone
,FECD,FE021,Rock phosphate
,FECD,FE022,Calcitic limestone
,FECD,FE024,Rhizobium
,FECD,FE026,Calcium hydroxide
,FECD,FE051,Urea super granules
,FECD,FE998,Nitrate from irrigation water (not a fertilizer product)
,FECD,FE999,Fertilizer unknown/not given
,,,
,FEOCD,Mg,Magnesium
,FEOCD,Mn,Manganese
,FEOCD,Cd,Cadmium
,FEOCD,Zn,Zinc
,FEOCD,S,Sulfur
,FEOCD,Fe,Iron
,FEOCD,Se,Selenium
,FEOCD,B,Boron
,,,
,HACOM,C,Canopy
,HACOM,L,Leaves
,HACOM,H,Harvest product
,,,
,"HARM, PLTHM",HM001,Combined
,"HARM, PLTHM",HM002,"Hand cut, machine threshed"
,"HARM, PLTHM",HM003,"Hand cut, hand threshed"
,"HARM, PLTHM",HM004,"Hand picked, no further processing"
,"HARM, PLTHM",HM005,"Hand picked, machine processing"
,"HARM, PLTHM",HM006,Cotton stripper
,"HARM, PLTHM",HM999,Method unknown/not given
,,,
,HASIZ,A,All
,HASIZ,S,Small - less than 1/3 full size
,HASIZ,M,Medium - from 1/3 to 2/3 full size
