@,agmip_code,name,category,dssat_code,folder,model,alt_model
,ALF,Alfalfa,Forage,AL,Lucerne,ALFRM,
,BAR,Barley,Cereals,BA,Barley,BACER,BACRP
,BHG,Bahia grass,Forage,BH,Bahia,BHGRO,G0GRO
,BMD,Bermuda grass,Forage,BM,Bermudagrass,BMGRO,BMFRM
,BND,Dry bean,Legumes,BN,Drybean,BNGRO,
,BNG,Green bean,Vegetable,GB,Greenbean,GBGRO,
,BRC,Brachiaria,Forage,BR,Brachiaria,BRGRO,BRFRM
,CBG,Cabbage,Vegetable,CB,Cabbage,CBGRO,
,CHP,Chickpea,Legumes,CH,Chickpea,CHGRO,
,CNL,Canola,Oil Crops,CN,Canola,CNGRO,
,COT,Cotton,Fiber,CO,Cotton,COGRO,
,CSV,Cassava,Root Crop,CS,Cassava,CSYCA,CSCAS
,CWP,Cowpea,Legumes,CP,Cowpea,CPGRO,
,FAL,Fallow,Various,FA,Fallow,,
,FBN,Faba bean,Legumes,FB,Fababean,FBGRO,
,MAZ,Maize,Cereals,MZ,Maize,MZCER,MZIXM
,PGP,Pigeon pea,Legumes,PP,Pigeonpea,PPGRO,
,PML,Pearl millet,Cereals,ML,Millet,MLCER,
,PNA,Pineapple,Fruit Crops,PI,Pineapple,PIALO,
,PNT,Peanut,Legumes,PN,Peanut,PNGRO,
,POT,Potato,Root Crop,PT,Potato,PTSUB,
,PPR,Pepper,Vegetable,PR,Pepper,PRGRO,
,RIC,Rice,Cereals,RI,Rice,RICER,RIORZ
,SAF,Safflower,Oil Crops,SF,Safflower,SFGRO,
,SBN,Soybean,Legumes,SB,Soybean,SBGRO,
,SBT,Sugar beet,Root Crop,BS,Beetsugar,BSCER,
,SGG,Sorghum,Cereals,SG,Sorghum,SGCER,
,SUC,Sugarcane,Sugar/Energy,SC,Sugar,SCCAN,SCCSP
,SUN,Sunflower,Oil Crops,SU,Sunflower,SUGRO,
,SWC,Sweet corn,Vegetable,SW,Sweetcorn,SWCER,
,TAN,Tanier,Root Crop,TN,Tanier,TNARO,
,TAR,Taro,Root Crop,TR,Taro,TRARO,
,TOM,Tomato,Vegetable,TM,Tomato,TMGRO,
,VBN,Velvet bean,Legumes,VB,Velvetbean,VBGRO,
,WHB,Wheat,Cereals,WH,Wheat,WHCER,WHAPS;WHCRP
